concurrency, throughput, mean latency, p90 latency, max latency
10, 469, 21, 21, 24
20, 942, 21, 21, 26
30, 1418, 21, 21, 29
40, 1896, 21, 21, 28
50, 2361, 21, 21, 35
60, 2829, 21, 21, 31
70, 3297, 21, 21, 33
80, 3728, 21, 22, 46
90, 4177, 21, 22, 35
100, 4590, 22, 23, 37
