concurrency, throughput, mean latency, p90 latency, max latency
10, 473, 21, 21, 24
20, 946, 21, 21, 23
30, 1422, 21, 21, 27
40, 1896, 21, 21, 34
50, 2373, 21, 21, 28
60, 2853, 21, 21, 28
70, 3326, 21, 21, 29
80, 3787, 21, 21, 31
90, 4238, 21, 21, 33
100, 4709, 21, 21, 31
