concurrency, throughput, mean latency, p90 latency, max latency
10, 472, 21, 21, 23
20, 942, 21, 21, 26
30, 1421, 21, 21, 31
40, 1899, 21, 21, 27
50, 2372, 21, 21, 32
60, 2838, 21, 21, 29
70, 3313, 21, 21, 29
80, 3764, 21, 21, 31
90, 4214, 21, 22, 33
100, 4680, 21, 22, 34
