concurrency, throughput, mean latency, p90 latency, max latency
10, 7490, 1, 2, 10
20, 7312, 3, 6, 20
30, 7244, 4, 9, 26
40, 7112, 6, 12, 41
50, 7159, 7, 15, 45
60, 7113, 8, 18, 46
70, 7077, 10, 21, 61
80, 7078, 11, 23, 66
90, 7054, 13, 25, 66
100, 7054, 14, 27, 65
