concurrency, throughput, mean latency, p90 latency, max latency
10, 6157, 2, 2, 11
20, 6231, 3, 4, 12
30, 5626, 5, 10, 32
40, 5522, 7, 13, 30
50, 5371, 9, 18, 41
60, 5415, 11, 25, 58
70, 5351, 13, 26, 76
80, 5372, 15, 28, 82
90, 5323, 17, 30, 82
100, 5336, 19, 32, 78
