concurrency, throughput, mean latency, p90 latency, max latency
10, 7136, 1, 2, 152
20, 6563, 3, 6, 20
30, 6637, 4, 10, 30
40, 6495, 6, 14, 46
50, 6487, 8, 18, 59
60, 6467, 9, 20, 55
70, 6483, 11, 23, 61
80, 6438, 12, 24, 61
90, 6348, 14, 26, 62
100, 6288, 16, 29, 67
